participant_num,speaker,start,end,duration
p20nodbot,participant,8.080,9.042,0.962
p20nodbot,nodbot,10.038,12.232,2.194
p20nodbot,participant,13.396,14.392,0.996
p20nodbot,nodbot,15.640,16.028,0.388
p20nodbot,nodbot,16.349,17.682,1.333
p20nodbot,participant,22.424,23.302,0.878
p20nodbot,nodbot,24.888,27.082,2.194
p20nodbot,nodbot,34.962,35.569,0.607
p20nodbot,nodbot,35.722,37.173,1.451
p17nodbot,participant,8.418,9.127,0.709
p17nodbot,nodbot,10.190,12.316,2.126
p17nodbot,participant,13.396,14.24,0.844
p17nodbot,nodbot,15.252,17.429,2.177
p17nodbot,participant,19.252,20.518,1.266
p17nodbot,participant,20.517,20.551,0.034
p17nodbot,nodbot,21.783,23.977,2.194
p17nodbot,participant,24.652,26.154,1.502
p17nodbot,nodbot,28.212,28.246,0.034
p17nodbot,nodbot,28.246,30.457,2.211
p17nodbot,participant,30.727,31.419,0.692
p7nodbot,participant,7.574,8.941,1.367
p7nodbot,participant,9.042,9.413,0.371
p7nodbot,nodbot,10.527,11.168,0.641
p7nodbot,nodbot,11.337,12.687,1.350
p7nodbot,nodbot,13.818,13.953,0.135
p7nodbot,participant,13.953,14.105,0.152
p7nodbot,participant,14.172,15.201,1.029
p7nodbot,nodbot,15.978,16.619,0.641
p7nodbot,nodbot,16.737,18.121,1.384
p7nodbot,participant,19.741,21.327,1.586
p7nodbot,participant,22.137,22.795,0.658
p7nodbot,nodbot,22.947,24.314,1.367
p7nodbot,participant,26.592,27.115,0.523
p7nodbot,nodbot,28.145,28.786,0.641
p7nodbot,nodbot,28.853,30.372,1.519
p2nodbot,participant,9.650,10.848,1.198
p2nodbot,nodbot,9.920,12.097,2.177
p2nodbot,participant,12.434,13.953,1.519
p2nodbot,nodbot,16.349,18.576,2.227
p2nodbot,participant,19.977,22.323,2.346
p2nodbot,nodbot,22.964,25.175,2.211
p2nodbot,nodbot,29.630,34.254,4.624
p2nodbot,participant,34.928,36.059,1.131
p28nodbot,participant,8.418,9.785,1.367
p28nodbot,nodbot,10.477,11.135,0.658
p28nodbot,nodbot,11.236,12.62,1.384
p28nodbot,participant,13.278,14.797,1.519
p28nodbot,nodbot,15.691,17.868,2.177
p28nodbot,participant,21.580,22.339,0.759
p28nodbot,nodbot,23.521,25.715,2.194
p28nodbot,participant,26.626,27.318,0.692
p28nodbot,nodbot,28.094,30.305,2.211
p12nodbot,participant,8.587,9.127,0.540
p12nodbot,nodbot,10.443,12.637,2.194
p12nodbot,participant,13.767,14.948,1.181
p12nodbot,nodbot,15.910,18.087,2.177
p12nodbot,participant,18.914,19.336,0.422
p12nodbot,nodbot,21.445,23.639,2.194
p12nodbot,nodbot,34.743,35.131,0.388
p12nodbot,participant,37.173,37.629,0.456
p25nodbot,participant,7.861,8.688,0.827
p25nodbot,nodbot,9.920,10.544,0.624
p25nodbot,nodbot,10.747,12.063,1.316
p25nodbot,participant,12.704,13.396,0.692
p25nodbot,participant,13.396,13.413,0.017
p25nodbot,nodbot,14.493,15.134,0.641
p25nodbot,nodbot,15.269,16.636,1.367
p25nodbot,participant,18.020,18.796,0.776
p25nodbot,participant,19.353,20.298,0.945
p25nodbot,participant,20.973,21.884,0.911
p25nodbot,nodbot,21.884,22.306,0.422
p25nodbot,nodbot,22.542,23.875,1.333
p25nodbot,participant,26.795,27.487,0.692
p25nodbot,nodbot,28.415,28.432,0.017
p25nodbot,nodbot,28.432,30.626,2.194
p22nodbot,participant,8.131,9.312,1.181
p22nodbot,nodbot,10.072,10.663,0.591
p22nodbot,nodbot,10.915,12.181,1.266
p22nodbot,participant,12.552,14.493,1.941
p22nodbot,nodbot,15.303,15.944,0.641
p22nodbot,nodbot,16.147,17.48,1.333
p22nodbot,participant,18.796,19.302,0.506
p22nodbot,nodbot,20.770,21.361,0.591
p22nodbot,nodbot,21.580,22.93,1.350
p22nodbot,participant,25.310,26.474,1.164
p22nodbot,nodbot,27.588,27.605,0.017
p22nodbot,nodbot,27.605,28.162,0.557
p22nodbot,nodbot,28.280,29.765,1.485
p8nodbot,participant,8.030,9.211,1.181
p8nodbot,nodbot,10.797,12.94,2.143
p8nodbot,participant,13.615,14.796,1.181
p8nodbot,nodbot,16.282,17.598,1.316
p8nodbot,participant,18.526,20.212,1.686
p8nodbot,nodbot,20.212,22.778,2.566
p8nodbot,participant,22.778,23.639,0.861
p8nodbot,nodbot,24.314,26.541,2.227
p5nodbot,participant,6.612,7.439,0.827
p5nodbot,nodbot,10.021,12.232,2.211
p5nodbot,participant,12.839,13.362,0.523
p5nodbot,participant,13.413,14.189,0.776
p5nodbot,participant,15.235,16.349,1.114
p5nodbot,nodbot,17.294,18.036,0.742
p5nodbot,nodbot,18.070,19.471,1.401
p5nodbot,participant,20.129,20.804,0.675
p5nodbot,nodbot,21.833,24.027,2.194
p5nodbot,participant,26.997,28.398,1.401
p5nodbot,nodbot,29.478,31.705,2.227
