feature,p_value
 AU01_r,0.043690354162643164
 AU02_r,3.812330143282348e-64
 AU04_r,2.6510110443956277e-34
 AU05_r,3.456922671754608e-28
 AU06_r,1.017101516783454e-09
 AU09_r,6.207410909550062e-93
 AU10_r,4.710007535126356e-94
 AU14_r,3.971788537249745e-11
 AU15_r,2.528407958408367e-276
 AU20_r,4.941015303504909e-78
 AU23_r,5.779680927264025e-08
 AU25_r,2.0856200959147097e-41
 AU26_r,5.1946402664446855e-45
 AU02_c,9.47219224099814e-27
 AU04_c,8.09796096683709e-15
 AU05_c,9.792639143260563e-217
 AU06_c,0.0036601059142152754
 AU09_c,1.7837413457687364e-43
 AU10_c,6.706165351233106e-18
 AU14_c,6.477622951930243e-139
 AU15_c,3.40012308172572e-20
 AU20_c,3.578608147229833e-62
 AU23_c,3.362216189951601e-06
 AU25_c,1.2809241002389068e-23
 AU26_c,2.670529394219268e-53
 AU28_c,5.393917660485353e-110
Loudness_sma3,4.397255359211933e-179
alphaRatio_sma3,2.754616964869083e-114
hammarbergIndex_sma3,3.113921970582845e-154
slope500-1500_sma3,8.880432936444107e-94
spectralFlux_sma3,9.076109180344553e-150
mfcc1_sma3,1.0834342755953224e-155
mfcc3_sma3,2.490846596819528e-109
mfcc4_sma3,6.822540911688778e-12
F0semitoneFrom27.5Hz_sma3nz,1.2621460508796684e-168
jitterLocal_sma3nz,2.4292906482580046e-14
shimmerLocaldB_sma3nz,1.8484502131948896e-113
HNRdBACF_sma3nz,6.695019791153338e-69
logRelF0-H1-H2_sma3nz,2.4774407808905948e-08
logRelF0-H1-A3_sma3nz,2.507861739727348e-118
F1frequency_sma3nz,2.9086809652983485e-176
F1bandwidth_sma3nz,1.594850040310514e-198
F1amplitudeLogRelF0_sma3nz,3.6441553763497356e-55
F2frequency_sma3nz,6.043883865317771e-212
F2bandwidth_sma3nz,3.2164862559391145e-177
F2amplitudeLogRelF0_sma3nz,9.397349767071348e-73
F3frequency_sma3nz,1.2459716668532545e-217
F3bandwidth_sma3nz,9.304820808719936e-167
F3amplitudeLogRelF0_sma3nz,3.5178460708131843e-84
