2024-11-27 14:38:06,600 INFO    Thread-11 :1646358 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2024-11-27 14:38:06,601 INFO    Thread-11 :1646358 [wandb_setup.py:_flush():77] Configure stats pid to 1646358
2024-11-27 14:38:06,601 INFO    Thread-11 :1646358 [wandb_setup.py:_flush():77] Loading settings from /home/sjl356/.config/wandb/settings
2024-11-27 14:38:06,601 INFO    Thread-11 :1646358 [wandb_setup.py:_flush():77] Loading settings from /home/sjl356/badrobotsIRL/training/binary_models/wandb/settings
2024-11-27 14:38:06,601 INFO    Thread-11 :1646358 [wandb_setup.py:_flush():77] Loading settings from environment variables: {'api_key': '***REDACTED***', 'project': 'lstm_all_v0', 'entity': 'shannon-jliu', 'root_dir': '/home/sjl356/badrobotsIRL/training/binary_models', 'run_id': 'jpao5lu1', 'sweep_param_path': '/home/sjl356/badrobotsIRL/training/binary_models/wandb/sweep-wjlzkvyk/config-jpao5lu1.yaml', 'sweep_id': 'wjlzkvyk'}
2024-11-27 14:38:06,601 INFO    Thread-11 :1646358 [wandb_setup.py:_flush():77] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-27 14:38:06,601 INFO    Thread-11 :1646358 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'training/binary_models/lstm_model_wandb.py', 'program_abspath': '/home/sjl356/badrobotsIRL/training/binary_models/lstm_model_wandb.py', 'program': '/home/sjl356/badrobotsIRL/training/binary_models/lstm_model_wandb.py'}
2024-11-27 14:38:06,601 INFO    Thread-11 :1646358 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-11-27 14:38:06,601 INFO    Thread-11 :1646358 [wandb_init.py:_log_setup():532] Logging user logs to /home/sjl356/badrobotsIRL/training/binary_models/wandb/run-20241127_143806-jpao5lu1/logs/debug.log
2024-11-27 14:38:06,601 INFO    Thread-11 :1646358 [wandb_init.py:_log_setup():533] Logging internal logs to /home/sjl356/badrobotsIRL/training/binary_models/wandb/run-20241127_143806-jpao5lu1/logs/debug-internal.log
2024-11-27 14:38:06,602 INFO    Thread-11 :1646358 [wandb_init.py:init():616] calling init triggers
2024-11-27 14:38:06,602 INFO    Thread-11 :1646358 [wandb_init.py:init():623] wandb.init called with sweep_config: {'activation_function': 'relu', 'batch_size': 128, 'dense_units': 128, 'dropout_rate': 0.3, 'epochs': 500, 'fusion_type': 'early', 'learning_rate': 0.005, 'loss': 'categorical_crossentropy', 'lstm_units': 128, 'modality': 'facial_audio', 'num_lstm_layers': 1, 'optimizer': 'rmsprop', 'recurrent_regularizer': 'l1', 'sequence_length': 90, 'use_bidirectional': True, 'use_norm': False, 'use_pca': False, 'use_stats': False}
config: {}
2024-11-27 14:38:06,602 INFO    Thread-11 :1646358 [wandb_init.py:init():666] starting backend
2024-11-27 14:38:06,602 INFO    Thread-11 :1646358 [wandb_init.py:init():670] setting up manager
2024-11-27 14:38:06,614 INFO    Thread-11 :1646358 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-11-27 14:38:06,619 INFO    Thread-11 :1646358 [wandb_init.py:init():678] backend started and connected
2024-11-27 14:38:06,635 INFO    Thread-11 :1646358 [wandb_run.py:_config_callback():1388] config_cb None None {'activation_function': 'relu', 'batch_size': 128, 'dense_units': 128, 'dropout_rate': 0.3, 'epochs': 500, 'fusion_type': 'early', 'learning_rate': 0.005, 'loss': 'categorical_crossentropy', 'lstm_units': 128, 'modality': 'facial_audio', 'num_lstm_layers': 1, 'optimizer': 'rmsprop', 'recurrent_regularizer': 'l1', 'sequence_length': 90, 'use_bidirectional': True, 'use_norm': False, 'use_pca': False, 'use_stats': False}
2024-11-27 14:38:06,644 INFO    Thread-11 :1646358 [wandb_init.py:init():773] updated telemetry
2024-11-27 14:38:06,760 INFO    Thread-11 :1646358 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2024-11-27 14:38:06,935 INFO    Thread-11 :1646358 [wandb_init.py:init():857] starting run threads in backend
2024-11-27 14:38:07,486 INFO    Thread-11 :1646358 [wandb_run.py:_console_start():2459] atexit reg
2024-11-27 14:38:07,486 INFO    Thread-11 :1646358 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2024-11-27 14:38:07,486 INFO    Thread-11 :1646358 [wandb_run.py:_redirect():2372] Wrapping output streams.
2024-11-27 14:38:07,486 INFO    Thread-11 :1646358 [wandb_run.py:_redirect():2397] Redirects installed.
2024-11-27 14:38:07,488 INFO    Thread-11 :1646358 [wandb_init.py:init():900] run started, returning control to user process
2024-11-27 17:28:09,205 INFO    Thread-11 :1646358 [wandb_run.py:_finish():2158] finishing run shannon-jliu/lstm_all_v0/jpao5lu1
2024-11-27 17:28:09,206 INFO    Thread-11 :1646358 [wandb_run.py:_atexit_cleanup():2422] got exitcode: 0
2024-11-27 17:28:09,206 INFO    Thread-11 :1646358 [wandb_run.py:_restore():2404] restore
2024-11-27 17:28:09,206 INFO    Thread-11 :1646358 [wandb_run.py:_restore():2410] restore done
2024-11-27 17:28:10,768 INFO    Thread-11 :1646358 [wandb_run.py:_footer_history_summary_info():4037] rendering history
2024-11-27 17:28:10,770 INFO    Thread-11 :1646358 [wandb_run.py:_footer_history_summary_info():4069] rendering summary
2024-11-27 17:28:10,800 INFO    Thread-11 :1646358 [wandb_run.py:_footer_sync_info():3996] logging synced files
