speaker,start,end,duration
participant,06.055,07.422,1.367
participant,07.793,08.485,0.692
nodbot,09.616,11.793,2.177
participant,13.058,15.555,2.497
nodbot,17.176,17.868,0.692
nodbot,17.918,19.386,1.468
participant,19.538,21.495,1.957
nodbot,22.694,23.386,0.692
nodbot,23.487,24.888,1.401
participant,25.748,27.233,1.485
participant,28.465,29.056,0.591
nodbot,28.904,31.081,2.177
participant,31.604,34.388,2.784
nodbot,36.413,37.105,0.692
nodbot,37.223,38.607,1.384
participant,43.012,44.362,1.350
nodbot,45.087,47.196,2.109
